count,visible_state,action,example_bot,example_position,example_message
685,passive_loop,none,Rikwa,POINT(-13039.90 -5748.36),priority=1 visibleState=passive_loop healthScore=0 healthIssue=no_work apm=82 decisionTpm=218 windowSec=30 executedTicks=41 noProgressTicks=68 sameActionStreak=0 sinceProgressSec=18 minimalTicks=0 state=2 action=none target=none loot=0 travelStatus=6 travel=no destination moving=0 combat=0 afk=0 waiting=0 delayMs=0 casting=0 currentSpell=none currentSpellId=0
5,target_stall,reach melee,Grireth,POINT(-9185.56 -3125.28),priority=1 visibleState=target_stall healthScore=60 healthIssue=no_progress_15s apm=36 decisionTpm=812 windowSec=45 executedTicks=27 noProgressTicks=582 sameActionStreak=357 sinceProgressSec=18 minimalTicks=0 state=0 action=reach melee target=Armored Scorpid loot=0 travelStatus=5 travel=get xp or gold from killing |cFFFFFF00|Hentry:38:|h[Defias Thug]|h|r moving=1 combat=1 afk=0 waiting=0 delayMs=49 casting=0 currentSpell=none currentSpellId=0
4,target_stall,"-ranged,+close",Bekina,POINT(-13604.72 -6383.23),"priority=1 visibleState=target_stall healthScore=45 healthIssue=low_apm apm=14 decisionTpm=1162 windowSec=30 executedTicks=7 noProgressTicks=574 sameActionStreak=415 sinceProgressSec=21 minimalTicks=0 state=0 action=-ranged,+close target=Prairie Wolf loot=0 travelStatus=5 travel=get xp or gold from killing |cFFFFFF00|Hentry:80:|h[Kobold Laborer]|h|r moving=0 combat=1 afk=0 waiting=0 delayMs=50 casting=0 currentSpell=none currentSpellId=0"
4,passive_loop,reset raids,Duamudrica,POINT(-12963.56 -6098.23),priority=1 visibleState=passive_loop healthScore=0 healthIssue=no_work apm=5 decisionTpm=360 windowSec=33 executedTicks=3 noProgressTicks=195 sameActionStreak=15 sinceProgressSec=23 minimalTicks=0 state=0 action=reset raids target=none loot=0 travelStatus=6 travel=loot |cffffffff|Hitem:4751:0:0:0|h[Windfury Talon]|h|r from |cFFFFFF00|Hentry:2962:|h[Windfury Harpy]|h|r (objective 1) moving=0 combat=0 afk=0 waiting=0 delayMs=0 casting=0 currentSpell=none currentSpellId=0
3,travel_cooldown,choose rpg target,Peldi,POINT(-8731.35 -4689.27),priority=1 visibleState=travel_cooldown healthScore=35 healthIssue=no_work apm=196 decisionTpm=360 windowSec=30 executedTicks=98 noProgressTicks=82 sameActionStreak=26 sinceProgressSec=15 minimalTicks=0 state=1 action=choose rpg target target=none loot=0 travelStatus=5 travel=get xp or gold from killing |cFFFFFF00|Hentry:3183:|h[Yarrog Baneshadow]|h|r moving=0 combat=0 afk=0 waiting=0 delayMs=0 casting=0 currentSpell=none currentSpellId=0
3,target_stall,update pve strats,Emaelas,POINT(-14049.21 6370.31),priority=1 visibleState=target_stall healthScore=70 healthIssue=no_progress_15s apm=42 decisionTpm=112 windowSec=51 executedTicks=36 noProgressTicks=59 sameActionStreak=68 sinceProgressSec=18 minimalTicks=0 state=0 action=update pve strats target=Nightsaber loot=0 travelStatus=0 travel=no destination moving=0 combat=0 afk=0 waiting=0 delayMs=0 casting=0 currentSpell=none currentSpellId=0
2,active,shadow bolt,Adrinon,POINT(-149.70 -9807.34),priority=1 visibleState=active healthScore=45 healthIssue=low_apm apm=16 decisionTpm=588 windowSec=30 executedTicks=8 noProgressTicks=286 sameActionStreak=270 sinceProgressSec=19 minimalTicks=0 state=0 action=shadow bolt target=none loot=0 travelStatus=0 travel=no destination moving=0 combat=1 afk=0 waiting=0 delayMs=28 casting=0 currentSpell=none currentSpellId=0
2,target_stall,select new target,Bekina,POINT(-13493.25 -6386.44),priority=1 visibleState=target_stall healthScore=45 healthIssue=low_apm apm=11 decisionTpm=940 windowSec=45 executedTicks=8 noProgressTicks=697 sameActionStreak=556 sinceProgressSec=28 minimalTicks=0 state=0 action=select new target target=Prairie Wolf loot=0 travelStatus=6 travel=loot |cffffffff|Hitem:10459:0:0:0|h[Chief Sharptusk Thornmantle's Head]|h|r from |cFFFFFF00|Hentry:8554:|h[Chief Sharptusk Thornmantle]|h|r (objective 1) moving=0 combat=1 afk=0 waiting=0 delayMs=51 casting=0 currentSpell=none currentSpellId=0
2,target_stall,emote,Dragial,POINT(-9144.92 -3221.28),priority=1 visibleState=target_stall healthScore=45 healthIssue=low_apm apm=2 decisionTpm=1196 windowSec=30 executedTicks=1 noProgressTicks=597 sameActionStreak=342 sinceProgressSec=18 minimalTicks=0 state=0 action=emote target=Armored Scorpid loot=0 travelStatus=5 travel=get xp or gold from killing |cFFFFFF00|Hentry:38:|h[Defias Thug]|h|r moving=1 combat=1 afk=0 waiting=0 delayMs=50 casting=0 currentSpell=none currentSpellId=0
1,active,none,Sergio,POINT(619.92 -1312.09),priority=1 visibleState=active healthScore=50 healthIssue=zero_apm apm=0 decisionTpm=1016 windowSec=15 executedTicks=0 noProgressTicks=254 sameActionStreak=0 sinceProgressSec=15 minimalTicks=0 state=1 action=none target=none loot=0 travelStatus=6 travel=no destination moving=1 combat=0 afk=0 waiting=0 delayMs=51 casting=0 currentSpell=none currentSpellId=0
1,target_stall,jump,Viviayana,POINT(-14426.53 5741.42),priority=1 visibleState=target_stall healthScore=65 healthIssue=low_apm apm=7 decisionTpm=13 windowSec=55 executedTicks=6 noProgressTicks=6 sameActionStreak=1 sinceProgressSec=18 minimalTicks=0 state=0 action=jump target=Timberling loot=1 travelStatus=6 travel=loot |cffffffff|Hitem:5169:0:0:0|h[Timberling Sprout]|h|r from |cFFFFFF00|Hentry:4608:|h[Timberling Sprout]|h|r (objective 1) moving=0 combat=0 afk=0 waiting=0 delayMs=0 casting=0 currentSpell=none currentSpellId=0
1,target_stall,move random,Perrec,POINT(-1506.61 1821.71),priority=1 visibleState=target_stall healthScore=30 healthIssue=zero_apm apm=0 decisionTpm=1 windowSec=54 executedTicks=0 noProgressTicks=1 sameActionStreak=67 sinceProgressSec=54 minimalTicks=0 state=0 action=move random target=Mindless Zombie loot=0 travelStatus=0 travel=no destination moving=0 combat=0 afk=0 waiting=0 delayMs=0 casting=0 currentSpell=none currentSpellId=0
